week_number,week_start_date,sku_id,sku_name,category,channel,units_sold,unit_price,promo_or_press_flag
1,2026-01-05,APP-1042,Trail Runner Jacket,Apparel,online,14,95.0,0
1,2026-01-05,APP-1042,Trail Runner Jacket,Apparel,store,21,95.0,0
2,2026-01-12,APP-1042,Trail Runner Jacket,Apparel,online,19,95.0,0
2,2026-01-12,APP-1042,Trail Runner Jacket,Apparel,store,19,95.0,0
3,2026-01-19,APP-1042,Trail Runner Jacket,Apparel,online,11,95.0,0
3,2026-01-19,APP-1042,Trail Runner Jacket,Apparel,store,16,95.0,0
4,2026-01-26,APP-1042,Trail Runner Jacket,Apparel,online,16,95.0,0
4,2026-01-26,APP-1042,Trail Runner Jacket,Apparel,store,20,95.0,0
5,2026-02-02,APP-1042,Trail Runner Jacket,Apparel,online,15,95.0,0
5,2026-02-02,APP-1042,Trail Runner Jacket,Apparel,store,21,95.0,0
6,2026-02-09,APP-1042,Trail Runner Jacket,Apparel,online,19,95.0,0
6,2026-02-09,APP-1042,Trail Runner Jacket,Apparel,store,21,95.0,0
7,2026-02-16,APP-1042,Trail Runner Jacket,Apparel,online,18,95.0,0
7,2026-02-16,APP-1042,Trail Runner Jacket,Apparel,store,19,95.0,0
8,2026-02-23,APP-1042,Trail Runner Jacket,Apparel,online,16,95.0,0
8,2026-02-23,APP-1042,Trail Runner Jacket,Apparel,store,23,95.0,0
9,2026-03-02,APP-1042,Trail Runner Jacket,Apparel,online,16,95.0,0
9,2026-03-02,APP-1042,Trail Runner Jacket,Apparel,store,23,95.0,0
10,2026-03-09,APP-1042,Trail Runner Jacket,Apparel,online,19,95.0,0
10,2026-03-09,APP-1042,Trail Runner Jacket,Apparel,store,23,95.0,0
11,2026-03-16,APP-1042,Trail Runner Jacket,Apparel,online,16,95.0,0
11,2026-03-16,APP-1042,Trail Runner Jacket,Apparel,store,21,95.0,0
12,2026-03-23,APP-1042,Trail Runner Jacket,Apparel,online,20,95.0,0
12,2026-03-23,APP-1042,Trail Runner Jacket,Apparel,store,24,95.0,0
13,2026-03-30,APP-1042,Trail Runner Jacket,Apparel,online,16,95.0,0
13,2026-03-30,APP-1042,Trail Runner Jacket,Apparel,store,21,95.0,0
14,2026-04-06,APP-1042,Trail Runner Jacket,Apparel,online,20,95.0,0
14,2026-04-06,APP-1042,Trail Runner Jacket,Apparel,store,22,95.0,0
15,2026-04-13,APP-1042,Trail Runner Jacket,Apparel,online,19,95.0,0
15,2026-04-13,APP-1042,Trail Runner Jacket,Apparel,store,22,95.0,0
16,2026-04-20,APP-1042,Trail Runner Jacket,Apparel,online,22,95.0,0
16,2026-04-20,APP-1042,Trail Runner Jacket,Apparel,store,28,95.0,0
17,2026-04-27,APP-1042,Trail Runner Jacket,Apparel,online,16,95.0,0
17,2026-04-27,APP-1042,Trail Runner Jacket,Apparel,store,22,95.0,0
18,2026-05-04,APP-1042,Trail Runner Jacket,Apparel,online,22,95.0,0
18,2026-05-04,APP-1042,Trail Runner Jacket,Apparel,store,22,95.0,0
19,2026-05-11,APP-1042,Trail Runner Jacket,Apparel,online,17,95.0,0
