week_number,supplier_id,supplier_name,lead_time_days,disruption_note
1,SUP-01,Highline Textiles Co.,14,
2,SUP-01,Highline Textiles Co.,14,
3,SUP-01,Highline Textiles Co.,14,
4,SUP-01,Highline Textiles Co.,14,
5,SUP-01,Highline Textiles Co.,14,
6,SUP-01,Highline Textiles Co.,14,
7,SUP-01,Highline Textiles Co.,14,
8,SUP-01,Highline Textiles Co.,14,
9,SUP-01,Highline Textiles Co.,14,
10,SUP-01,Highline Textiles Co.,14,
11,SUP-01,Highline Textiles Co.,14,
12,SUP-01,Highline Textiles Co.,14,
13,SUP-01,Highline Textiles Co.,14,
14,SUP-01,Highline Textiles Co.,14,
15,SUP-01,Highline Textiles Co.,14,
16,SUP-01,Highline Textiles Co.,14,
17,SUP-01,Highline Textiles Co.,14,
18,SUP-01,Highline Textiles Co.,14,
19,SUP-01,Highline Textiles Co.,14,
20,SUP-01,Highline Textiles Co.,14,
21,SUP-01,Highline Textiles Co.,14,
22,SUP-01,Highline Textiles Co.,14,
23,SUP-01,Highline Textiles Co.,14,
24,SUP-01,Highline Textiles Co.,14,
25,SUP-01,Highline Textiles Co.,14,
26,SUP-01,Highline Textiles Co.,14,
1,SUP-02,Ridgeline Gear Manufacturing,18,
2,SUP-02,Ridgeline Gear Manufacturing,18,
3,SUP-02,Ridgeline Gear Manufacturing,18,
4,SUP-02,Ridgeline Gear Manufacturing,18,
5,SUP-02,Ridgeline Gear Manufacturing,18,
6,SUP-02,Ridgeline Gear Manufacturing,18,
7,SUP-02,Ridgeline Gear Manufacturing,18,
8,SUP-02,Ridgeline Gear Manufacturing,18,
9,SUP-02,Ridgeline Gear Manufacturing,18,
10,SUP-02,Ridgeline Gear Manufacturing,18,
11,SUP-02,Ridgeline Gear Manufacturing,18,
12,SUP-02,Ridgeline Gear Manufacturing,18,
13,SUP-02,Ridgeline Gear Manufacturing,18,
14,SUP-02,Ridgeline Gear Manufacturing,18,
15,SUP-02,Ridgeline Gear Manufacturing,18,
16,SUP-02,Ridgeline Gear Manufacturing,18,
17,SUP-02,Ridgeline Gear Manufacturing,18,
18,SUP-02,Ridgeline Gear Manufacturing,18,
19,SUP-02,Ridgeline Gear Manufacturing,18,
20,SUP-02,Ridgeline Gear Manufacturing,18,
21,SUP-02,Ridgeline Gear Manufacturing,18,
22,SUP-02,Ridgeline Gear Manufacturing,18,
23,SUP-02,Ridgeline Gear Manufacturing,18,
24,SUP-02,Ridgeline Gear Manufacturing,18,
25,SUP-02,Ridgeline Gear Manufacturing,18,
26,SUP-02,Ridgeline Gear Manufacturing,18,
1,SUP-03,Pacific Rim Footwear Ltd.,21,
2,SUP-03,Pacific Rim Footwear Ltd.,21,
3,SUP-03,Pacific Rim Footwear Ltd.,21,
4,SUP-03,Pacific Rim Footwear Ltd.,21,
5,SUP-03,Pacific Rim Footwear Ltd.,21,
6,SUP-03,Pacific Rim Footwear Ltd.,21,
7,SUP-03,Pacific Rim Footwear Ltd.,21,
8,SUP-03,Pacific Rim Footwear Ltd.,21,
9,SUP-03,Pacific Rim Footwear Ltd.,21,
10,SUP-03,Pacific Rim Footwear Ltd.,21,
11,SUP-03,Pacific Rim Footwear Ltd.,21,
12,SUP-03,Pacific Rim Footwear Ltd.,21,
13,SUP-03,Pacific Rim Footwear Ltd.,21,
14,SUP-03,Pacific Rim Footwear Ltd.,21,
15,SUP-03,Pacific Rim Footwear Ltd.,21,
16,SUP-03,Pacific Rim Footwear Ltd.,21,
17,SUP-03,Pacific Rim Footwear Ltd.,21,
18,SUP-03,Pacific Rim Footwear Ltd.,21,
19,SUP-03,Pacific Rim Footwear Ltd.,45,Port congestion at origin port reported by supplier; lead time extended
20,SUP-03,Pacific Rim Footwear Ltd.,45,Port congestion at origin port reported by supplier; lead time extended
21,SUP-03,Pacific Rim Footwear Ltd.,45,Port congestion at origin port reported by supplier; lead time extended
22,SUP-03,Pacific Rim Footwear Ltd.,45,Port congestion at origin port reported by supplier; lead time extended
23,SUP-03,Pacific Rim Footwear Ltd.,45,Port congestion at origin port reported by supplier; lead time extended
24,SUP-03,Pacific Rim Footwear Ltd.,45,Port congestion at origin port reported by supplier; lead time extended
25,SUP-03,Pacific Rim Footwear Ltd.,45,Port congestion at origin port reported by supplier; lead time extended
26,SUP-03,Pacific Rim Footwear Ltd.,45,Port congestion at origin port reported by supplier; lead time extended
1,SUP-04,Summit Outdoor Supply,25,
2,SUP-04,Summit Outdoor Supply,25,
3,SUP-04,Summit Outdoor Supply,25,
4,SUP-04,Summit Outdoor Supply,25,
5,SUP-04,Summit Outdoor Supply,25,
6,SUP-04,Summit Outdoor Supply,25,
7,SUP-04,Summit Outdoor Supply,25,
8,SUP-04,Summit Outdoor Supply,25,
9,SUP-04,Summit Outdoor Supply,25,
10,SUP-04,Summit Outdoor Supply,25,
11,SUP-04,Summit Outdoor Supply,25,
12,SUP-04,Summit Outdoor Supply,25,
13,SUP-04,Summit Outdoor Supply,25,
14,SUP-04,Summit Outdoor Supply,25,
15,SUP-04,Summit Outdoor Supply,25,
16,SUP-04,Summit Outdoor Supply,25,
17,SUP-04,Summit Outdoor Supply,25,
18,SUP-04,Summit Outdoor Supply,25,
19,SUP-04,Summit Outdoor Supply,25,
20,SUP-04,Summit Outdoor Supply,25,
21,SUP-04,Summit Outdoor Supply,25,
22,SUP-04,Summit Outdoor Supply,25,
23,SUP-04,Summit Outdoor Supply,25,
24,SUP-04,Summit Outdoor Supply,25,
25,SUP-04,Summit Outdoor Supply,25,
26,SUP-04,Summit Outdoor Supply,25,
